model_name,map_index,mean_final_coverage
DARE-L6,72,0.998928717814957
DARE-L6,73,0.9982830836572205
DARE-L6,74,0.9998477408549351
DARE-L6,75,1.0
DARE-L6,76,0.9970875500117674
DARE-L6,77,0.9981549498832899
DARE-L6,78,0.9946976708314051
DARE-L6,79,0.9935649243564924
DARE-L6,80,0.9970821980018165
DARE-L6,81,0.9964602998334259
DARE-L6,82,0.9984627862235467
DARE-L6,83,0.9979085838991271
DARE-L6,84,0.9998253647935424
DARE-L6,85,0.9978733459357279
DARE-L6,86,0.9961766960521272
DARE-L6,87,0.99872227997228
DARE-L6,88,0.9990456840290605
DARE-L6,89,0.9982084003985592
DARE-L6,90,0.9990844838319844
DARE-L6,91,0.9994640751723892
DARE-L6,92,0.9977388511518015
DARE-L6,93,0.996376960764132
DARE-L6,94,0.9974718781956595
DARE-L6,95,0.9968671935787706
DARE-L6,96,0.9976909980846989
DARE-L6,97,0.9984492543222911
DARE-L6,98,0.9998471322000734
DARE-L6,99,0.9988214706617621
LiteDARE-L2,0,0.9962391750736541
LiteDARE-L2,1,0.997545742434905
LiteDARE-L2,2,0.9973607038123167
LiteDARE-L2,3,0.999383477188656
LiteDARE-L2,4,0.9999449157210532
LiteDARE-L2,5,0.9951530324135076
LiteDARE-L2,6,0.9964397059389554
LiteDARE-L2,7,0.9985421105753056
LiteDARE-L2,8,0.9969493237991606
LiteDARE-L2,9,0.9903159290080271
LiteDARE-L2,10,0.9933291770573566
LiteDARE-L2,11,0.9986397043894912
LiteDARE-L2,12,0.9934213049982739
LiteDARE-L2,13,0.996585067759445
LiteDARE-L2,14,0.9967778766884701
LiteDARE-L2,15,0.997628623463348
LiteDARE-L2,16,0.999794015205423
LiteDARE-L2,17,0.9987345170073245
LiteDARE-L2,18,0.9997658770073878
LiteDARE-L2,19,0.999539775175277
LiteDARE-L2,20,1.0
LiteDARE-L2,21,0.9956942136274362
LiteDARE-L2,22,0.9991888263155932
LiteDARE-L2,23,0.9960532204907027
LiteDARE-L2,24,0.9974334267694465
LiteDARE-L2,25,0.9974750237001386
LiteDARE-L2,26,0.9985384444608895
LiteDARE-L2,27,0.9974515800203874
LiteDARE-L2,28,0.9986320358953781
LiteDARE-L2,29,0.9978197988170789
LiteDARE-L2,30,0.9982266420946487
LiteDARE-L2,31,0.9937393494850708
LiteDARE-L2,32,0.9948660549100866
LiteDARE-L2,33,0.994538168776989
LiteDARE-L2,34,0.9981279662506592
LiteDARE-L2,35,0.9989231059890422
LiteDARE-L2,36,0.9966867469879519
LiteDARE-L2,37,0.9978306345393972
LiteDARE-L2,38,0.9945430583583872
LiteDARE-L2,39,0.999980765531833
LiteDARE-L2,40,0.9973824594928142
LiteDARE-L2,41,0.9990073799145484
LiteDARE-L2,42,0.9984197949587605
LiteDARE-L2,43,0.9971574128765505
LiteDARE-L2,44,0.9989194580666612
LiteDARE-L2,45,0.9964720505977406
LiteDARE-L2,46,0.998076621133616
LiteDARE-L2,47,0.9954008157829018
LiteDARE-L2,48,0.9981827818581055
LiteDARE-L2,49,0.9966065049821395
LiteDARE-L2,50,0.9977340267459138
LiteDARE-L2,51,0.9942793943785515
LiteDARE-L2,52,0.9955415766509933
LiteDARE-L2,53,0.9966976693688477
LiteDARE-L2,54,0.9983892104401005
LiteDARE-L2,55,0.998994040162472
LiteDARE-L2,56,0.9965261244101986
LiteDARE-L2,57,0.987828935461686
LiteDARE-L2,58,0.9937920792079207
LiteDARE-L2,59,0.9973449881545626
LiteDARE-L2,60,0.9999695740365111
LiteDARE-L2,61,0.9965490060368363
LiteDARE-L2,62,0.9987183270018073
LiteDARE-L2,63,0.9972546054987467
LiteDARE-L2,64,1.0
LiteDARE-L2,65,0.9959517780076327
LiteDARE-L2,66,0.9951436144959646
LiteDARE-L2,67,1.0
LiteDARE-L2,68,0.9965020735630401
LiteDARE-L2,69,0.9976504297994269
LiteDARE-L2,70,0.9996734234234235
LiteDARE-L2,71,0.9951207317976446
LiteDARE-L2,72,1.0
LiteDARE-L2,73,0.9982830836572205
LiteDARE-L2,74,0.9996954817098702
LiteDARE-L2,75,1.0
LiteDARE-L2,76,0.9968227818310191
LiteDARE-L2,77,0.9973568584374571
LiteDARE-L2,78,0.9979754743174456
LiteDARE-L2,79,0.9970871872087187
LiteDARE-L2,80,0.9997388737511352
LiteDARE-L2,81,0.9955084476877926
LiteDARE-L2,82,0.9957750198045947
LiteDARE-L2,83,0.9974943420627223
LiteDARE-L2,84,1.0
LiteDARE-L2,85,0.9953780718336485
LiteDARE-L2,86,0.9954771943273284
LiteDARE-L2,87,0.9981808731808732
LiteDARE-L2,88,0.9982452899889175
LiteDARE-L2,89,0.998294627117345
LiteDARE-L2,90,0.9988739151133408
LiteDARE-L2,91,0.9972578512987245
LiteDARE-L2,92,0.9945547844063791
LiteDARE-L2,93,0.9965519370908642
LiteDARE-L2,94,0.9986933303033746
LiteDARE-L2,95,1.0
LiteDARE-L2,96,0.997084486060864
LiteDARE-L2,97,0.9945338964409837
LiteDARE-L2,98,0.9998471322000734
LiteDARE-L2,99,0.9997500089282525
LiteDARE-L4,0,0.9953463976430676
LiteDARE-L4,1,0.9969915552427868
LiteDARE-L4,2,0.9966568914956011
LiteDARE-L4,3,0.9982812091320106
LiteDARE-L4,4,0.9990268444052735
LiteDARE-L4,5,0.9977788653390054
LiteDARE-L4,6,0.997709864901274
LiteDARE-L4,7,1.0
LiteDARE-L4,8,0.9953462614643246
LiteDARE-L4,9,0.9982417703807349
LiteDARE-L4,10,0.991797292483078
LiteDARE-L4,11,0.9985787956308116
LiteDARE-L4,12,0.9952817522728145
LiteDARE-L4,13,0.9977173873971028
LiteDARE-L4,14,0.9962747222974803
LiteDARE-L4,15,0.996490362725755
LiteDARE-L4,16,0.9827347290363657
LiteDARE-L4,17,0.9991275836944433
LiteDARE-L4,18,0.9997658770073878
LiteDARE-L4,19,0.9989620461399867
LiteDARE-L4,20,0.9980829119646385
LiteDARE-L4,21,0.9983853301102885
LiteDARE-L4,22,0.9992540931637639
LiteDARE-L4,23,0.9951377303983399
LiteDARE-L4,24,0.9992817098808691
LiteDARE-L4,25,0.9981769124188726
LiteDARE-L4,26,0.9986124472729964
LiteDARE-L4,27,0.9982916147544079
LiteDARE-L4,28,0.9974282274833108
LiteDARE-L4,29,0.9951215300263352
LiteDARE-L4,30,0.9947320838693975
LiteDARE-L4,31,0.9954434318737497
LiteDARE-L4,32,0.9943017834677718
LiteDARE-L4,33,0.9977585449754812
LiteDARE-L4,34,0.9985146774477061
LiteDARE-L4,35,0.9976383903268469
LiteDARE-L4,36,0.99764865915274
LiteDARE-L4,37,0.9955837917409158
LiteDARE-L4,38,0.9931839710061365
LiteDARE-L4,39,0.9998653587228314
