descriptor,team_size,method_role_normalised,stratum,metric,n,mean,median
map_obstacle_ratio,4,map_only,low,actual_collision_pairs,136,0.38235294117647056,0.0
map_obstacle_ratio,4,map_only,low,collisions_per_robot_pair,136,0.06372549019607843,0.0
map_obstacle_ratio,4,map_only,low,deadlock_duration_robot_steps,136,0.10294117647058823,0.0
map_obstacle_ratio,4,map_only,medium,final_coverage,132,0.9971341990148835,0.9988048262255275
map_obstacle_ratio,4,map_only,medium,coverage_auc,132,0.7539659636207701,0.7530046329866787
map_obstacle_ratio,4,map_only,medium,reached_95_rate,132,1.0,1.0
map_obstacle_ratio,4,map_only,medium,steps_to_95_conditional,132,36.25,34.0
map_obstacle_ratio,4,map_only,medium,trajectory_overlap_ratio,132,0.2768008451918526,0.280625
map_obstacle_ratio,4,map_only,medium,team_travel_distance_recorded,132,983.2291715253483,963.4545609951019
map_obstacle_ratio,4,map_only,medium,team_path_per_robot,132,245.80729288133708,240.86364024877548
map_obstacle_ratio,4,map_only,medium,actual_collision_pairs,132,0.4772727272727273,0.0
map_obstacle_ratio,4,map_only,medium,collisions_per_robot_pair,132,0.07954545454545454,0.0
map_obstacle_ratio,4,map_only,medium,deadlock_duration_robot_steps,132,0.13636363636363635,0.0
map_obstacle_ratio,4,map_only,high,final_coverage,132,0.9963444314167339,0.996480886242425
map_obstacle_ratio,4,map_only,high,coverage_auc,132,0.7474595102870228,0.7558136894020511
map_obstacle_ratio,4,map_only,high,reached_95_rate,132,1.0,1.0
map_obstacle_ratio,4,map_only,high,steps_to_95_conditional,132,32.78787878787879,31.0
map_obstacle_ratio,4,map_only,high,trajectory_overlap_ratio,132,0.26671173796429315,0.2631578947368421
map_obstacle_ratio,4,map_only,high,team_travel_distance_recorded,132,872.0612843000528,863.2948913574219
map_obstacle_ratio,4,map_only,high,team_path_per_robot,132,218.0153210750132,215.82372283935547
map_obstacle_ratio,4,map_only,high,actual_collision_pairs,132,0.21212121212121213,0.0
map_obstacle_ratio,4,map_only,high,collisions_per_robot_pair,132,0.03535353535353535,0.0
map_obstacle_ratio,4,map_only,high,deadlock_duration_robot_steps,132,0.22727272727272727,0.0
map_obstacle_ratio,6,full,low,final_coverage,136,0.9976090475670392,0.9988731275579563
map_obstacle_ratio,6,full,low,coverage_auc,136,0.8008937442695213,0.8053303444422812
map_obstacle_ratio,6,full,low,reached_95_rate,136,1.0,1.0
map_obstacle_ratio,6,full,low,steps_to_95_conditional,136,15.551470588235293,14.0
map_obstacle_ratio,6,full,low,trajectory_overlap_ratio,136,0.20425148065396928,0.2083333333333333
map_obstacle_ratio,6,full,low,team_travel_distance_recorded,136,901.2393131150919,832.2829880714417
map_obstacle_ratio,6,full,low,team_path_per_robot,136,150.20655218584866,138.7138313452403
map_obstacle_ratio,6,full,low,actual_collision_pairs,136,0.0,0.0
map_obstacle_ratio,6,full,low,collisions_per_robot_pair,136,0.0,0.0
map_obstacle_ratio,6,full,low,deadlock_duration_robot_steps,136,0.0,0.0
map_obstacle_ratio,6,full,medium,final_coverage,132,0.9975509273295424,0.9990355441928302
map_obstacle_ratio,6,full,medium,coverage_auc,132,0.8001806546840502,0.8004595964414868
map_obstacle_ratio,6,full,medium,reached_95_rate,132,1.0,1.0
map_obstacle_ratio,6,full,medium,steps_to_95_conditional,132,15.621212121212121,14.5
map_obstacle_ratio,6,full,medium,trajectory_overlap_ratio,132,0.22262563364277035,0.22756041426927495
map_obstacle_ratio,6,full,medium,team_travel_distance_recorded,132,912.061873103633,881.3518831729889
map_obstacle_ratio,6,full,medium,team_path_per_robot,132,152.01031218393885,146.89198052883148
map_obstacle_ratio,6,full,medium,actual_collision_pairs,132,0.0,0.0
map_obstacle_ratio,6,full,medium,collisions_per_robot_pair,132,0.0,0.0
map_obstacle_ratio,6,full,medium,deadlock_duration_robot_steps,132,0.0,0.0
map_obstacle_ratio,6,full,high,final_coverage,132,0.996888071195065,0.9978050885651949
map_obstacle_ratio,6,full,high,coverage_auc,132,0.8012540668235223,0.8009777531228579
map_obstacle_ratio,6,full,high,reached_95_rate,132,1.0,1.0
map_obstacle_ratio,6,full,high,steps_to_95_conditional,132,13.931818181818182,14.0
map_obstacle_ratio,6,full,high,trajectory_overlap_ratio,132,0.20392556433093956,0.1889880952380952
map_obstacle_ratio,6,full,high,team_travel_distance_recorded,132,796.4904564691312,745.8565819263458
map_obstacle_ratio,6,full,high,team_path_per_robot,132,132.74840941152186,124.30943032105765
map_obstacle_ratio,6,full,high,actual_collision_pairs,132,0.0,0.0
map_obstacle_ratio,6,full,high,collisions_per_robot_pair,132,0.0,0.0
map_obstacle_ratio,6,full,high,deadlock_duration_robot_steps,132,0.0,0.0
map_obstacle_ratio,6,map_only,low,final_coverage,136,0.9973118056064781,0.9989612994860989
map_obstacle_ratio,6,map_only,low,coverage_auc,136,0.7987012921897428,0.7979137770929898
map_obstacle_ratio,6,map_only,low,reached_95_rate,136,1.0,1.0
map_obstacle_ratio,6,map_only,low,steps_to_95_conditional,136,25.86764705882353,23.5
map_obstacle_ratio,6,map_only,low,trajectory_overlap_ratio,136,0.2924485367917837,0.27632389162561577
