descriptor,team_size,communication_mode,stratum,metric,n,mean,median
map_obstacle_ratio,4,none,high,mean_robot_map_free_iou,132,0.6895429095538226,0.751158038147139
map_obstacle_ratio,4,none,high,reached_95_rate,132,1.0,1.0
map_obstacle_ratio,4,none,high,steps_to_95_conditional,132,32.81818181818182,30.0
map_obstacle_ratio,4,none,high,map_payload_kib,132,0.0,0.0
map_obstacle_ratio,4,none,high,map_payload_kib_per_robot,132,0.0,0.0
map_obstacle_ratio,4,none,high,communication_packets_recorded,132,0.0,0.0
map_obstacle_ratio,4,none,high,packets_per_robot,132,0.0,0.0
map_obstacle_ratio,4,none,high,map_retransmission_packets,132,0.0,0.0
map_obstacle_ratio,4,raw,low,final_coverage,136,0.9974070348447187,0.9985052646759474
map_obstacle_ratio,4,raw,low,coverage_auc,136,0.7483607453559675,0.7491071492097165
map_obstacle_ratio,4,raw,low,mean_robot_map_free_iou,136,0.7506845179492891,0.7898710605140004
map_obstacle_ratio,4,raw,low,reached_95_rate,136,1.0,1.0
map_obstacle_ratio,4,raw,low,steps_to_95_conditional,136,22.448529411764707,20.5
map_obstacle_ratio,4,raw,low,map_payload_kib,136,2064.8161692899816,1517.54541015625
map_obstacle_ratio,4,raw,low,map_payload_kib_per_robot,136,516.2040423224954,379.3863525390625
map_obstacle_ratio,4,raw,low,communication_packets_recorded,136,60.97794117647059,50.5
map_obstacle_ratio,4,raw,low,packets_per_robot,136,15.244485294117647,12.625
map_obstacle_ratio,4,raw,low,map_retransmission_packets,136,0.0,0.0
map_obstacle_ratio,4,raw,low,retransmission_rate,136,0.0,0.0
map_obstacle_ratio,4,raw,medium,final_coverage,132,0.9975989598828141,0.9988481430959604
map_obstacle_ratio,4,raw,medium,coverage_auc,132,0.7531668227177359,0.7503824752908093
map_obstacle_ratio,4,raw,medium,mean_robot_map_free_iou,132,0.7519807903495509,0.7733614976163714
map_obstacle_ratio,4,raw,medium,reached_95_rate,132,1.0,1.0
map_obstacle_ratio,4,raw,medium,steps_to_95_conditional,132,23.363636363636363,22.0
map_obstacle_ratio,4,raw,medium,map_payload_kib,132,1935.5078051017992,1294.19384765625
map_obstacle_ratio,4,raw,medium,map_payload_kib_per_robot,132,483.8769512754498,323.5484619140625
map_obstacle_ratio,4,raw,medium,communication_packets_recorded,132,61.09090909090909,48.5
map_obstacle_ratio,4,raw,medium,packets_per_robot,132,15.272727272727273,12.125
map_obstacle_ratio,4,raw,medium,map_retransmission_packets,132,0.0,0.0
map_obstacle_ratio,4,raw,medium,retransmission_rate,132,0.0,0.0
map_obstacle_ratio,4,raw,high,final_coverage,132,0.9967862602905395,0.9982087811380489
map_obstacle_ratio,4,raw,high,coverage_auc,132,0.7471354604686113,0.7488598410282588
map_obstacle_ratio,4,raw,high,mean_robot_map_free_iou,132,0.7284168391047452,0.7623974354271564
map_obstacle_ratio,4,raw,high,reached_95_rate,132,1.0,1.0
map_obstacle_ratio,4,raw,high,steps_to_95_conditional,132,21.204545454545453,20.0
map_obstacle_ratio,4,raw,high,map_payload_kib,132,1810.7263553503788,1297.4931640625
