team_size,communication_mode,metric,n,p10,median,p90,iqr
8,compressed,reached_95_rate,400,1.0,1.0,1.0,0.0
8,compressed,steps_to_95_conditional,400,6.0,10.0,16.100000000000023,6.0
8,compressed,map_payload_kib,400,275.0607421875,915.80029296875,2277.7739257812505,1026.891845703125
8,compressed,map_payload_kib_per_robot,400,34.3825927734375,114.47503662109375,284.7217407226563,128.36148071289062
8,compressed,communication_packets_recorded,400,37.0,110.0,239.10000000000002,103.25
8,compressed,packets_per_robot,400,4.625,13.75,29.887500000000003,12.90625
8,compressed,map_retransmission_packets,306,0.0,0.0,0.0,0.0
8,compressed,retransmission_rate,305,0.0,0.0,0.0,0.0
8,none,final_coverage,400,0.9919501772911008,0.9988284030722594,1.0,0.005052028944279363
8,none,coverage_auc,400,0.7997092812920258,0.8637432670700084,0.9246056440029365,0.06424872912805635
8,none,mean_robot_map_free_iou,400,0.27918844030377865,0.4453827704340855,0.8086627041187963,0.3118312357061448
8,none,reached_95_rate,400,1.0,1.0,1.0,0.0
8,none,steps_to_95_conditional,400,6.0,14.0,36.10000000000002,13.0
8,none,map_payload_kib,400,0.0,0.0,0.0,0.0
8,none,map_payload_kib_per_robot,400,0.0,0.0,0.0,0.0
8,none,communication_packets_recorded,400,0.0,0.0,0.0,0.0
8,none,packets_per_robot,400,0.0,0.0,0.0,0.0
8,none,map_retransmission_packets,400,0.0,0.0,0.0,0.0
8,raw,final_coverage,400,0.9922045883916369,0.9989756759815307,1.0,0.005039338879187727
8,raw,coverage_auc,400,0.7836585560360305,0.8416248517238809,0.8882688319306508,0.05711843124726079
8,raw,mean_robot_map_free_iou,400,0.3315301450077369,0.5850682309785032,0.8472698013718082,0.3004591562082928
8,raw,reached_95_rate,400,1.0,1.0,1.0,0.0
8,raw,steps_to_95_conditional,400,6.0,10.0,16.100000000000023,6.0
8,raw,map_payload_kib,400,537.8355468750003,2340.521484375,7773.011425781251,3497.39111328125
8,raw,map_payload_kib_per_robot,400,67.22944335937504,292.565185546875,971.6264282226564,437.17388916015625
8,raw,communication_packets_recorded,400,37.0,110.0,239.10000000000002,103.25
8,raw,packets_per_robot,400,4.625,13.75,29.887500000000003,12.90625
8,raw,map_retransmission_packets,400,0.0,0.0,0.0,0.0
8,raw,retransmission_rate,399,0.0,0.0,0.0,0.0
